Start,Finish,Active Calories (kcal)
07-Aug-2019 00:00,08-Aug-2019 00:00,785.527
08-Aug-2019 00:00,09-Aug-2019 00:00,889.265724596868
09-Aug-2019 00:00,10-Aug-2019 00:00,1408.39327540317
10-Aug-2019 00:00,11-Aug-2019 00:00,1354.78905705073
11-Aug-2019 00:00,12-Aug-2019 00:00,320.688942949339
12-Aug-2019 00:00,13-Aug-2019 00:00,1137.51300000001
13-Aug-2019 00:00,14-Aug-2019 00:00,1147.54600000001
14-Aug-2019 00:00,15-Aug-2019 00:00,966.710999999998
15-Aug-2019 00:00,16-Aug-2019 00:00,1513.151
16-Aug-2019 00:00,17-Aug-2019 00:00,855.957000000013
17-Aug-2019 00:00,18-Aug-2019 00:00,972.075345246883
18-Aug-2019 00:00,19-Aug-2019 00:00,731.258654753098
19-Aug-2019 00:00,20-Aug-2019 00:00,861.353999999992
20-Aug-2019 00:00,21-Aug-2019 00:00,748.137999999999
21-Aug-2019 00:00,22-Aug-2019 00:00,782.985
22-Aug-2019 00:00,23-Aug-2019 00:00,564.107
23-Aug-2019 00:00,24-Aug-2019 00:00,1034.55100000004
24-Aug-2019 00:00,25-Aug-2019 00:00,1052.25099664884
25-Aug-2019 00:00,26-Aug-2019 00:00,476.428488647437
26-Aug-2019 00:00,27-Aug-2019 00:00,822.384514703738
27-Aug-2019 00:00,28-Aug-2019 00:00,1060.378
28-Aug-2019 00:00,29-Aug-2019 00:00,778.474151001155
29-Aug-2019 00:00,30-Aug-2019 00:00,794.476848998851
30-Aug-2019 00:00,31-Aug-2019 00:00,737.226804993438
31-Aug-2019 00:00,01-Sep-2019 00:00,880.999195006567
01-Sep-2019 00:00,02-Sep-2019 00:00,439.25032066443
02-Sep-2019 00:00,03-Sep-2019 00:00,751.523679335572
03-Sep-2019 00:00,04-Sep-2019 00:00,1334.42500000001
04-Sep-2019 00:00,05-Sep-2019 00:00,744.492000000003
05-Sep-2019 00:00,06-Sep-2019 00:00,804.108
06-Sep-2019 00:00,07-Sep-2019 00:00,343.161319188192
07-Sep-2019 00:00,08-Sep-2019 00:00,1424.23584536006
08-Sep-2019 00:00,09-Sep-2019 00:00,1138.96538642298
09-Sep-2019 00:00,10-Sep-2019 00:00,1280.97300000002
10-Sep-2019 00:00,11-Sep-2019 00:00,644.667999999995
11-Sep-2019 00:00,12-Sep-2019 00:00,1107.644
12-Sep-2019 00:00,13-Sep-2019 00:00,1260.157
13-Sep-2019 00:00,14-Sep-2019 00:00,750.279000000001
