In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
14-Jun-2017 07:41,14-Jun-2017 07:47,5.6,0.0,0.0,0
14-Jun-2017 23:59,15-Jun-2017 07:13,434.2,0.0,0.0,0
16-Jun-2017 01:01,16-Jun-2017 07:20,379.117995366454,0.0,0.0,0
18-Jun-2017 23:52,19-Jun-2017 07:09,437.777814516425,0.0,0.0,0
19-Jun-2017 23:07,20-Jun-2017 07:01,474.0,0.0,0.0,0
20-Jun-2017 23:24,21-Jun-2017 07:00,456.133333333333,0.0,0.0,0
21-Jun-2017 23:05,22-Jun-2017 01:50,164.466666666667,0.0,0.0,0
22-Jun-2017 01:51,22-Jun-2017 07:01,310.6,0.0,0.0,0
22-Jun-2017 07:08,22-Jun-2017 07:09,0.6,0.0,0.0,0
22-Jun-2017 07:10,22-Jun-2017 07:10,0.155969149867694,0.0,0.0,0
22-Jun-2017 23:53,23-Jun-2017 07:10,436.997558466593,0.0,0.0,0
26-Jun-2017 01:39,26-Jun-2017 07:00,321.250727717082,0.0,0.0,0
27-Jun-2017 01:18,27-Jun-2017 08:06,408.252300516764,0.0,0.0,0
27-Jun-2017 23:00,28-Jun-2017 07:01,481.666666666667,0.0,0.0,0
28-Jun-2017 23:30,29-Jun-2017 07:12,462.030460083485,0.0,0.0,0
29-Jun-2017 07:14,29-Jun-2017 07:16,1.93333333333333,0.0,0.0,0
30-Jun-2017 06:26,30-Jun-2017 07:00,34.4635039170583,0.0,0.0,0
02-Jul-2017 23:00,03-Jul-2017 05:09,369.266666666667,0.0,0.0,0
03-Jul-2017 05:09,03-Jul-2017 07:10,121.333333333333,0.0,0.0,0
03-Jul-2017 23:34,04-Jul-2017 07:00,445.733333333333,0.0,0.0,0
04-Jul-2017 07:02,04-Jul-2017 07:46,44.1333333333333,0.0,0.0,0
04-Jul-2017 23:00,05-Jul-2017 01:59,179.6,0.0,0.0,0
05-Jul-2017 01:59,05-Jul-2017 06:07,248.133333333333,0.0,0.0,0
05-Jul-2017 06:14,05-Jul-2017 06:15,0.733333333333333,0.0,0.0,0
05-Jul-2017 06:27,05-Jul-2017 06:29,2.0,0.0,0.0,0
05-Jul-2017 06:43,05-Jul-2017 06:46,2.53333333333333,0.0,0.0,0
05-Jul-2017 06:56,05-Jul-2017 06:59,2.73333333333333,0.0,0.0,0
05-Jul-2017 06:59,05-Jul-2017 07:00,0.623460299770037,0.0,0.0,0
06-Jul-2017 00:53,06-Jul-2017 07:19,385.386547310154,0.0,0.0,0
06-Jul-2017 23:00,07-Jul-2017 06:51,471.066666666667,0.0,0.0,0
